,1stFlrSF,2ndFlrSF,3SsnPorch,BedroomAbvGr,BldgType,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtFinType1,BsmtFinType2,BsmtFullBath,BsmtHalfBath,BsmtQual,BsmtUnfSF,CentralAir,Condition1,Condition2,Electrical,EnclosedPorch,ExterCond,ExterQual,Exterior1st,Exterior2nd,Fireplaces,Foundation,FullBath,Functional,GarageArea,GarageCars,GarageCond,GarageFinish,GarageQual,GarageType,GarageYrBlt,GrLivArea,HalfBath,Heating,HeatingQC,HouseStyle,Id,KitchenAbvGr,KitchenQual,LandContour,LandSlope,LotArea,LotConfig,LotFrontage,LotShape,LowQualFinSF,MSSubClass,MSZoning,MasVnrArea,MasVnrType,MiscVal,MoSold,Neighborhood,OpenPorchSF,OverallCond,OverallQual,PavedDrive,PoolArea,RoofMatl,RoofStyle,SaleCondition,SalePrice,SaleType,ScreenPorch,Street,TotRmsAbvGrd,TotalBsmtSF,Utilities,WoodDeckSF,YearBuilt,YearRemodAdd,YrSold
0,-0.7737284578963858,1.2071717183014448,-0.10331282968963837,3,1,1,3,0.5808717548440713,-0.29297508270245554,0,4,1,0,1,-0.9346154146383686,1,0,0,0,-0.3595391482902645,2,1,0,0,0,0,2,0,0.34882849380076386,2,2,1,2,0,94,0.41347637309517415,1,0,0,0,1,1,3,0,1,-0.21784136849269334,0,-0.19226596672343108,0,-0.10117968082459,0,0,0.5289435398538072,0,0,1,0,0.19997174671170154,4,6,0,-0.06313935545242814,0,0,0,208500.0,0,-0.28588647550360613,0,6,-0.44420048873451257,1,-0.7406335114617137,110,53,2
1,0.26103005235454907,-0.7848905642207595,-0.10331282968963837,3,1,1,0,1.177970742273406,-0.29297508270245554,1,4,0,1,1,-0.6297042712611278,1,0,0,0,-0.3595391482902645,2,2,0,0,1,0,2,0,-0.059793534525925854,2,2,1,2,0,67,-0.4718098135882956,0,0,0,0,2,1,4,0,1,-0.07203174114674873,0,0.5112577966883538,0,-0.10117968082459,0,0,-0.5669188163210098,0,0,4,0,-0.7027223652857345,7,5,0,-0.06313935545242814,0,0,0,181500.0,0,-0.28588647550360613,0,4,0.477077222065793,1,1.614602661614554,83,26,1
2,-0.6106138158863862,1.2351632257841925,-0.10331282968963837,3,1,1,2,0.09792404442328587,-0.29297508270245554,0,4,1,0,1,-0.2883858271821268,1,0,0,0,-0.3595391482902645,2,1,0,0,1,0,2,0,0.627434422205325,2,2,1,2,0,92,0.5636588511932628,1,0,0,0,3,1,3,0,1,0.13717337634960655,0,-0.051561214041074076,1,-0.10117968082459,0,0,0.3388449678642981,0,0,8,0,-0.08119527177930315,4,6,0,-0.06313935545242814,0,0,0,223500.0,0,-0.28588647550360613,0,4,-0.298974445652691,1,-0.7406335114617137,108,52,2
3,-0.5061184983487302,0.9785744071923393,-0.10331282968963837,3,1,0,3,-0.4947845092749508,-0.29297508270245554,1,4,1,0,2,-0.047187460032966075,1,0,0,0,3.8743030813271533,2,2,0,0,1,1,1,0,0.7853111149679097,3,2,2,2,0,89,0.42730896976210336,0,0,1,0,4,1,3,0,1,-0.0783712901617898,1,-0.4267738878606927,1,-0.10117968082459,0,0,-0.5669188163210098,0,0,1,0,-0.18478312069704173,4,6,0,-0.06313935545242814,0,0,1,140000.0,0,-0.28588647550360613,0,5,-0.6711161810498588,1,-0.7406335114617137,25,20,0
4,-0.03716390256998141,1.6713642173903425,-0.10331282968963837,4,1,1,1,0.46891569470107103,-0.29297508270245554,0,4,1,0,1,-0.1609602747259664,1,0,0,0,-0.3595391482902645,2,1,0,0,1,0,2,0,1.6861369501426575,3,2,1,2,0,91,1.3778059693039537,1,0,0,0,5,1,3,0,1,0.518814227055079,0,0.6988641335981631,1,-0.10117968082459,0,0,1.3899782482768777,0,0,11,0,0.5403318217271282,4,7,0,-0.06313935545242814,0,0,0,250000.0,0,-0.28588647550360613,0,7,0.21158586205683794,1,0.7768340899833984,107,50,2
5,-0.9266484347807604,0.5353755387155024,12.601064205130978,1,1,1,3,0.6379473933483459,-0.29297508270245554,0,4,1,0,1,-1.1303046559103291,1,0,0,0,-0.3595391482902645,2,2,0,0,0,0,1,0,0.03307510827559453,2,2,2,2,0,84,-0.2742012897750211,1,0,0,1,6,1,4,0,1,0.5004295349114598,0,0.7457657178256155,1,-0.10117968082459,0,0,-0.5669188163210098,0,17,9,0,-0.2587744413525693,4,4,0,-0.06313935545242814,0,0,0,143000.0,0,-0.28588647550360613,0,3,-0.5803499041237203,1,-0.42449442782731533,100,45,3
6,1.3620538859220463,-0.7848905642207595,-0.10331282968963837,3,1,1,1,2.0363005367030746,-0.29297508270245554,0,4,1,0,0,-0.5546142135637475,1,0,0,0,-0.3595391482902645,2,1,0,0,1,0,2,0,0.7574505221274536,2,2,1,2,0,95,0.38185900928505023,0,0,0,0,7,1,3,0,1,-0.010664906681151179,0,0.2767498755510922,0,-0.10117968082459,0,0,0.47303219515101036,0,0,7,0,0.14077869018727948,4,7,0,-0.06313935545242814,0,0,0,307000.0,0,-0.28588647550360613,0,5,1.439199757482861,1,1.2747531467075757,111,55,1
7,-0.13401322126341866,1.5080804237409815,-0.10331282968963837,3,1,1,2,0.9167399352730721,-0.10382642790278616,1,2,1,0,1,-0.7844352992436082,1,0,0,0,3.189416838300806,2,2,0,0,2,0,2,0,0.05164883683589861,2,2,1,2,0,64,1.1643887635856172,1,0,0,0,8,1,4,0,1,0.027118805448493596,1,-0.004659629813621751,1,-0.10117968082459,0,0,0.774953456546113,0,4,10,0,2.3161235174597894,5,6,0,-0.06313935545242814,0,0,0,200000.0,0,-0.28588647550360613,0,5,0.1253578989770064,1,1.1166836048903765,80,23,3
8,-0.3506498551829494,0.9692439046980902,-0.10331282968963837,2,1,1,3,-0.9689513522335401,-0.29297508270245554,4,4,0,0,2,0.8903005330373567,1,1,0,0,2.8314081203552157,2,2,0,0,2,1,2,0,-0.022646077405317697,2,2,2,3,0,23,0.5399458283356698,0,0,1,1,9,2,4,0,1,-0.5132643525936071,0,-0.8488881459077636,0,-0.10117968082459,0,0,-0.5669188163210098,0,0,3,0,-0.7027223652857345,4,6,0,-0.06313935545242814,0,0,1,129900.0,0,-0.28588647550360613,0,6,-0.22636142411178023,1,-0.029320573284317423,41,0,2
9,-0.21047320970560596,-0.7848905642207595,-0.10331282968963837,2,0,1,3,0.8991782003486799,-0.29297508270245554,0,4,1,0,2,-0.9573699775769687,1,1,1,0,-0.3595391482902645,2,2,0,0,2,1,1,0,-1.2438687302453109,1,2,1,1,0,31,-0.8373855826428535,0,0,0,0,10,2,4,0,1,-0.34843607820253936,1,-0.895789730135216,0,-0.10117968082459,0,0,-0.5669188163210098,0,0,0,0,-0.6435293087613125,5,4,0,-0.06313935545242814,0,0,0,118000.0,0,-0.28588647550360613,0,3,-0.13786430410879522,1,-0.7406335114617137,48,0,2
