Id,SalePrice
1461,127656.08
1462,160576.28
1463,182388.67
1464,203927.78
1465,174721.78
1466,170089.72
1467,171750.16
1468,168813.08
1469,191723.08
1470,129139.945
1471,181762.6
1472,94685.305
1473,95576.29
1474,145153.86
1475,106111.74
1476,416678.2
1477,261292.03
1478,317003.28
1479,301068.28
1480,523769.25
1481,372433.0
1482,207281.89
1483,170533.83
1484,172952.44
1485,179389.62
1486,194590.02
1487,366529.88
1488,238299.55
1489,203783.33
1490,231761.86
1491,193733.23
1492,90698.18
1493,194967.78
1494,271008.78
1495,272808.03
1496,234859.12
1497,182199.34
1498,164853.89
1499,160666.02
1500,160649.22
1501,177374.17
1502,147641.62
1503,306242.84
1504,229679.08
1505,226627.86
1506,193839.75
1507,258632.27
1508,186017.36
1509,168002.95
1510,143484.72
1511,142023.11
1512,164200.36
1513,146860.12
1514,143798.78
1515,211367.83
1516,150431.95
1517,154552.94
1518,132870.62
1519,211655.92
1520,134238.42
1521,137000.42
1522,163457.73
1523,112218.52
1524,124342.29
1525,121215.51
1526,117850.92
1527,105759.19
1528,127329.516
1529,154689.64
1530,177136.86
1531,108017.7
1532,91422.12
1533,137043.0
1534,116014.695
1535,151177.05
1536,114090.29
1537,69367.664
1538,148340.6
1539,180762.27
1540,83808.4
1541,155148.8
1542,139681.64
1543,219817.98
1544,74277.06
1545,109961.49
1546,131593.73
1547,134662.97
1548,133482.05
1549,113255.27
1550,133534.56
1551,102539.81
1552,133436.97
1553,142725.1
1554,112323.89
1555,173260.19
1556,89215.54
1557,103723.33
1558,87799.055
1559,87602.52
1560,129088.664
1561,128640.55
1562,129999.664
1563,120637.91
1564,154326.45
1565,148676.75
1566,241066.72
1567,73099.58
1568,216200.94
1569,130653.43
1570,136842.47
1571,116897.93
1572,140609.95
1573,247530.17
1574,100731.57
1575,239230.14
1576,224462.06
1577,206443.89
1578,141759.73
1579,147476.19
1580,196216.0
1581,147494.31
1582,130786.305
1583,303983.3
1584,220757.17
1585,144475.14
1586,80158.8
1587,101438.67
1588,144596.48
1589,90006.51
1590,133186.39
1591,93773.78
1592,126410.22
1593,118923.62
1594,146590.75
1595,112821.39
1596,247582.42
1597,184661.7
1598,206397.16
1599,176824.25
1600,170079.19
1601,73613.54
1602,113985.5
1603,77584.29
1604,275417.03
1605,231056.73
1606,171857.22
1607,179401.02
1608,220799.81
1609,186543.75
1610,161095.11
1611,144440.9
1612,178459.67
1613,165508.62
1614,125940.09
1615,90179.63
1616,72424.2
1617,92945.35
1618,129023.664
1619,137961.38
1620,167411.16
1621,137816.61
1622,138512.39
1623,276487.75
1624,205122.25
1625,119873.01
1626,158982.39
1627,181914.84
1628,291747.88
1629,183633.95
1630,351835.34
1631,229827.48
1632,254115.34
1633,168501.03
1634,189888.55
1635,173314.95
1636,157742.16
1637,184915.77
1638,192076.28
1639,176386.92
1640,256829.61
1641,176209.12
1642,224739.03
1643,226562.28
1644,241392.7
1645,194968.2
1646,159847.3
1647,162516.94
1648,134354.67
1649,145976.16
1650,115946.29
1651,126179.44
1652,95640.75
1653,104470.234
1654,140172.53
1655,136756.5
1656,146193.6
1657,145450.22
1658,144475.86
1659,119051.23
1660,152636.7
1661,434610.4
1662,404600.8
1663,373013.47
1664,473670.22
1665,304070.34
1666,288826.8
1667,400304.56
1668,331333.97
1669,306031.5
1670,334494.03
1671,230134.4
1672,439998.53
1673,294738.88
1674,245742.53
1675,195313.39
1676,190705.95
1677,223595.83
1678,452047.47
1679,373460.44
1680,360931.72
1681,266820.0
1682,263709.38
1683,176370.53
1684,173889.97
1685,171246.67
1686,173153.66
1687,166647.16
1688,189065.08
1689,186735.73
1690,188219.05
1691,173730.38
1692,272384.12
1693,177759.19
1694,183319.42
1695,163218.38
1696,280273.6
1697,176430.0
1698,357592.12
1699,312365.06
1700,243372.48
1701,265323.9
1702,252535.98
1703,248256.3
1704,263119.03
1705,236296.9
1706,378487.72
1707,226352.62
1708,212795.42
1709,259257.72
1710,231315.77
1711,261533.69
1712,254317.55
1713,261181.67
1714,225003.77
1715,205811.84
1716,184427.95
1717,174813.14
1718,140977.62
1719,213591.47
1720,240543.83
1721,158330.7
1722,128073.17
1723,149469.19
1724,197801.44
1725,242259.25
1726,198950.2
1727,151367.69
1728,167110.6
1729,178950.4
1730,151715.73
1731,117646.81
1732,130263.18
1733,118812.71
1734,122335.984
1735,127875.7
1736,120984.664
1737,353072.88
1738,247003.98
1739,281254.12
1740,239822.38
1741,195838.06
1742,171764.05
1743,171192.23
1744,328295.16
1745,245696.73
1746,194761.11
1747,219658.39
1748,223791.84
1749,156957.2
1750,126985.1
1751,222605.55
1752,120543.24
1753,142698.83
1754,199458.5
1755,167824.12
1756,129983.26
1757,124688.4
1758,143090.66
1759,161625.84
1760,170370.48
1761,138888.81
1762,164289.0
1763,174216.95
1764,124848.23
1765,170494.44
1766,164806.8
1767,209991.03
1768,146275.95
1769,182228.64
1770,148424.36
1771,130407.55
1772,143477.7
1773,127700.95
1774,144951.19
1775,148276.39
1776,121983.51
1777,107155.96
1778,136263.75
1779,115361.68
1780,179935.38
1781,134696.39
1782,89823.51
1783,131554.06
1784,110216.21
1785,127072.88
1786,143855.16
1787,156712.53
1788,49347.926
1789,95443.305
1790,83298.92
1791,193695.62
1792,155153.75
1793,133481.1
1794,151395.97
1795,137193.53
1796,122411.76
1797,97561.02
1798,123401.64
1799,114764.49
1800,136058.48
1801,129232.07
1802,128917.65
1803,153636.61
1804,140625.97
1805,134471.98
1806,122307.6
1807,129563.07
1808,116235.234
1809,119871.44
1810,146227.39
1811,106069.51
1812,96093.664
1813,126082.63
1814,105355.26
1815,54905.312
1816,102855.89
1817,107922.234
1818,178660.03
1819,134785.33
1820,40525.43
1821,102236.57
1822,141634.77
1823,26357.607
1824,138568.69
1825,120930.85
1826,108198.22
1827,97845.75
1828,129323.266
1829,110175.336
1830,147191.44
1831,169569.62
1832,78546.65
1833,135105.39
1834,119250.195
1835,133239.33
1836,120094.414
1837,85857.984
1838,138501.61
1839,86884.945
1840,167462.94
1841,141440.39
1842,76754.05
1843,136442.62
1844,134071.06
1845,147686.1
1846,152651.25
1847,163806.69
1848,62851.137
1849,119871.83
1850,127238.33
1851,157898.58
1852,122996.14
1853,136752.77
1854,171140.1
1855,158088.56
1856,218094.3
1857,147449.1
1858,139133.12
1859,119094.45
1860,156437.67
1861,116647.27
1862,319555.2
1863,308339.12
1864,308259.0
1865,366429.75
1866,349173.53
1867,226694.42
1868,280573.38
1869,204375.12
1870,223581.88
1871,273402.75
1872,173921.56
1873,243606.81
1874,143639.8
1875,194808.39
1876,201684.62
1877,203113.84
1878,197480.39
1879,139135.3
1880,133877.39
1881,226857.39
1882,244783.9
1883,195809.61
1884,205073.02
1885,239553.73
1886,266852.6
1887,201299.72
1888,243917.75
1889,162710.22
1890,130711.055
1891,135390.17
1892,109607.234
1893,136641.56
1894,121356.26
1895,144776.5
1896,121319.6
1897,120681.6
1898,107544.14
1899,162860.38
1900,137088.5
1901,183328.78
1902,155182.11
1903,208351.78
1904,153878.11
1905,191015.81
1906,194370.69
1907,201337.44
1908,106691.81
1909,129312.375
1910,121972.06
1911,222914.95
1912,336570.16
1913,135180.48
1914,52699.49
1915,356426.1
1916,74092.4
1917,251609.52
1918,134673.17
1919,168322.31
1920,152847.7
1921,408903.22
1922,339248.6
1923,226824.94
1924,223794.19
1925,187678.19
1926,393142.75
1927,136921.97
1928,154245.89
1929,119900.79
1930,127789.74
1931,141824.77
1932,141805.67
1933,180919.27
1934,180733.62
1935,178015.75
1936,191014.1
1937,185440.48
1938,170211.62
1939,280026.25
1940,169936.14
1941,171684.17
1942,179163.52
1943,206045.4
1944,396300.25
1945,423659.97
1946,176142.86
1947,379871.06
1948,179214.62
1949,238085.8
1950,184443.52
1951,232198.17
1952,211002.38
1953,168508.7
1954,206436.95
1955,137981.86
1956,310483.3
1957,162682.28
1958,290490.53
1959,140383.38
1960,120960.56
1961,124725.99
1962,99079.93
1963,105030.68
1964,112715.234
1965,148552.72
1966,141306.36
1967,289386.94
1968,403643.7
1969,443175.53
1970,433758.53
1971,426662.22
1972,374280.22
1973,279372.22
1974,328251.7
1975,434986.6
1976,263364.12
1977,326852.94
1978,403773.47
1979,357133.22
1980,207246.14
1981,335247.47
1982,226991.34
1983,227978.89
1984,155510.86
1985,230840.73
1986,210924.98
1987,186375.27
1988,177223.42
1989,198322.9
1990,214700.44
1991,241449.05
1992,212997.47
1993,169682.17
1994,238518.3
1995,188249.94
1996,241989.34
1997,322544.5
1998,309944.8
1999,272714.44
2000,319111.2
2001,253316.16
2002,254305.9
2003,255332.6
2004,246864.17
2005,233723.73
2006,234696.34
2007,248650.6
2008,211084.48
2009,198669.25
2010,189254.34
2011,151765.08
2012,179294.53
2013,188893.38
2014,180540.11
2015,205717.9
2016,187798.97
